Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-09-03 13:37:05,2018-09-03 13:37:14,"9,640s",PASSED
,,,,,,
Test Cases/Test1,Chrome 68.0.3440.106,,2018-09-03 13:37:05,2018-09-03 13:37:14,"8,837s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-03 13:37:06,2018-09-03 13:37:10,"3,954s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-03 13:37:10,2018-09-03 13:37:12,"2,046s",PASSED
click,Chrome 68.0.3440.106,,2018-09-03 13:37:12,2018-09-03 13:37:12,"0,476s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-03 13:37:12,2018-09-03 13:37:12,"0,187s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-03 13:37:12,2018-09-03 13:37:13,"0,397s",PASSED
click,Chrome 68.0.3440.106,,2018-09-03 13:37:13,2018-09-03 13:37:13,"0,457s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-03 13:37:13,2018-09-03 13:37:14,"0,886s",PASSED
